lambda,nr,Kab,Kcar,Kant,Kbrw,Kw,Km
1048,1.4242,0,0,0,0.001144,0.1715,2.3
1049,1.4241,0,0,0,0.001102,0.1687,2.3
1050,1.424,0,0,0,0.001061,0.1664,2.3
1051,1.4239,0,0,0,0.001021,0.1639,2.3
1052,1.4238,0,0,0,0.0009811,0.1613,2.3
1053,1.4237,0,0,0,0.0009422,0.1586,2.3
1054,1.4236,0,0,0,0.000904,0.1562,2.3
1055,1.4235,0,0,0,0.0008665,0.1545,2.3
1056,1.4234,0,0,0,0.0008297,0.1532,2.3
1057,1.4233,0,0,0,0.0007937,0.1522,2.3
1058,1.4232,0,0,0,0.0007584,0.151,2.3
1059,1.4231,0,0,0,0.0007239,0.1495,2.3
1060,1.423,0,0,0,0.0006901,0.1475,2.3
1061,1.4229,0,0,0,0.0006571,0.1457,2.3
1062,1.4228,0,0,0,0.0006248,0.1447,2.3
1063,1.4226,0,0,0,0.0005933,0.1442,2.3
1064,1.4225,0,0,0,0.0005626,0.1438,2.3
1065,1.4224,0,0,0,0.0005326,0.1433,2.3
1066,1.4223,0,0,0,0.0005034,0.1426,2.3
1067,1.4222,0,0,0,0.000475,0.1418,2.3
1068,1.422,0,0,0,0.0004473,0.1412,2.3
1069,1.4219,0,0,0,0.0004205,0.141,2.3
1070,1.4218,0,0,0,0.0003944,0.1409,2.3
1071,1.4217,0,0,0,0.0003691,0.1408,2.3
1072,1.4216,0,0,0,0.0003446,0.1406,2.3
1073,1.4215,0,0,0,0.000321,0.1405,2.3
1074,1.4214,0,0,0,0.0002981,0.1408,2.3
1075,1.4213,0,0,0,0.000276,0.1414,2.3
1076,1.4212,0,0,0,0.0002548,0.1426,2.3
1077,1.4211,0,0,0,0.0002344,0.1435,2.3
1078,1.4209,0,0,0,0.0002148,0.1438,2.3
1079,1.4208,0,0,0,0.000196,0.1439,2.3
1080,1.4207,0,0,0,0.000178,0.1443,2.3
1081,1.4206,0,0,0,0.0001609,0.1456,2.3
1082,1.4205,0,0,0,0.0001446,0.1475,2.3
1083,1.4203,0,0,0,0.0001292,0.1498,2.3
1084,1.4202,0,0,0,0.0001146,0.1519,2.3
1085,1.4201,0,0,0,0.0001009,0.1534,2.3
1086,1.42,0,0,0,8.80E-05,0.1547,2.3
1087,1.4199,0,0,0,7.60E-05,0.1561,2.3
1088,1.4197,0,0,0,6.49E-05,0.158,2.3
1089,1.4196,0,0,0,5.46E-05,0.1604,2.3
1090,1.4195,0,0,0,4.52E-05,0.1632,2.3
1091,1.4194,0,0,0,3.67E-05,0.1659,2.3
1092,1.4193,0,0,0,2.90E-05,0.1677,2.3
1093,1.4191,0,0,0,2.23E-05,0.1693,2.3
1094,1.419,0,0,0,1.64E-05,0.1712,2.3
1095,1.4189,0,0,0,1.14E-05,0.1739,2.3
1096,1.4188,0,0,0,7.30E-06,0.1777,2.3
1097,1.4187,0,0,0,4.11E-06,0.1824,2.3
1098,1.4185,0,0,0,1.83E-06,0.1866,2.3
1099,1.4184,0,0,0,4.58E-07,0.189,2.3
1100,1.4183,0,0,0,0,0.1906,2.3
1101,1.4182,0,0,0,0,0.1929,2.3
1102,1.4181,0,0,0,0,0.1967,2.3
1103,1.4179,0,0,0,0,0.2005,2.3
1104,1.4178,0,0,0,0,0.2031,2.3
1105,1.4177,0,0,0,0,0.2051,2.3
1106,1.4176,0,0,0,0,0.2079,2.3
1107,1.4175,0,0,0,0,0.2123,2.3
1108,1.4173,0,0,0,0,0.2166,2.3
1109,1.4172,0,0,0,0,0.2196,2.3
1110,1.4171,0,0,0,0,0.2219,2.3
1111,1.417,0,0,0,0,0.2251,2.3
1112,1.4169,0,0,0,0,0.2298,2.3
1113,1.4167,0,0,0,0,0.2337,2.3
1114,1.4166,0,0,0,0,0.2346,2.3
1115,1.4165,0,0,0,0,0.2342,2.3
1116,1.4164,0,0,0,0,0.2353,2.3
1117,1.4163,0,0,0,0,0.2397,2.3
1118,1.4161,0,0,0,0,0.245,2.3
1119,1.416,0,0,0,0,0.2491,2.3
1120,1.4159,0,0,0,0,0.2528,2.3
1121,1.4158,0,0,0,0,0.2578,2.3
1122,1.4157,0,0,0,0,0.265,2.3
1123,1.4156,0,0,0,0,0.2719,2.3
1124,1.4155,0,0,0,0,0.2765,2.3
1125,1.4154,0,0,0,0,0.2811,2.3
1126,1.4153,0,0,0,0,0.2891,2.3
1127,1.4152,0,0,0,0,0.3023,2.3
1128,1.415,0,0,0,0,0.3164,2.3
1129,1.4149,0,0,0,0,0.3271,2.3
1130,1.4148,0,0,0,0,0.3378,2.3
1131,1.4147,0,0,0,0,0.3533,2.3
1132,1.4146,0,0,0,0,0.377,2.3
1133,1.4145,0,0,0,0,0.4037,2.3
1134,1.4144,0,0,0,0,0.4281,2.3
1135,1.4143,0,0,0,0,0.4502,2.3
1136,1.4142,0,0,0,0,0.4712,2.3
1137,1.4141,0,0,0,0,0.4932,2.3
1138,1.4139,0,0,0,0,0.5202,2.3
1139,1.4138,0,0,0,0,0.5572,2.3
1140,1.4137,0,0,0,0,0.6052,2.3
1141,1.4136,0,0,0,0,0.652,2.3
1142,1.4135,0,0,0,0,0.6863,2.3
1143,1.4133,0,0,0,0,0.7159,2.3
1144,1.4132,0,0,0,0,0.7535,2.3
1145,1.4131,0,0,0,0,0.8064,2.3
1146,1.413,0,0,0,0,0.8597,2.3
1147,1.4129,0,0,0,0,0.8981,2.3
1148,1.4128,0,0,0,0,0.9253,2.3
1149,1.4127,0,0,0,0,0.9493,2.3
1150,1.4126,0,0,0,0,0.9769,2.3
1151,1.4125,0,0,0,0,1.008,2.3
1152,1.4124,0,0,0,0,1.041,2.3
1153,1.4122,0,0,0,0,1.073,2.3
1154,1.4121,0,0,0,0,1.1,2.3
1155,1.412,0,0,0,0,1.119,2.3
1156,1.4119,0,0,0,0,1.131,2.3
1157,1.4118,0,0,0,0,1.14,2.3
1158,1.4117,0,0,0,0,1.15,2.3
1159,1.4116,0,0,0,0,1.16,2.3
1160,1.4115,0,0,0,0,1.17,2.3
1161,1.4114,0,0,0,0,1.181,2.3
1162,1.4113,0,0,0,0,1.19,2.3
1163,1.4111,0,0,0,0,1.194,2.3
1164,1.411,0,0,0,0,1.196,2.3
1165,1.4109,0,0,0,0,1.197,2.3
1166,1.4108,0,0,0,0,1.2,2.3
1167,1.4107,0,0,0,0,1.203,2.3
1168,1.4106,0,0,0,0,1.205,2.3
1169,1.4105,0,0,0,0,1.206,2.3
1170,1.4104,0,0,0,0,1.207,2.3
1171,1.4103,0,0,0,0,1.213,2.3
1172,1.4102,0,0,0,0,1.223,2.3
1173,1.4101,0,0,0,0,1.232,2.3
1174,1.41,0,0,0,0,1.234,2.3
1175,1.4099,0,0,0,0,1.232,2.3
1176,1.4098,0,0,0,0,1.229,2.3
1177,1.4097,0,0,0,0,1.23,2.3
1178,1.4096,0,0,0,0,1.233,2.3
1179,1.4095,0,0,0,0,1.236,2.3
1180,1.4094,0,0,0,0,1.239,2.3
1181,1.4093,0,0,0,0,1.241,2.3
1182,1.4092,0,0,0,0,1.244,2.3
1183,1.409,0,0,0,0,1.248,2.3
1184,1.4089,0,0,0,0,1.252,2.3
1185,1.4088,0,0,0,0,1.256,2.3
1186,1.4087,0,0,0,0,1.258,2.3
1187,1.4086,0,0,0,0,1.26,2.3
1188,1.4085,0,0,0,0,1.262,2.3
1189,1.4084,0,0,0,0,1.265,2.3
1190,1.4083,0,0,0,0,1.267,2.3
1191,1.4082,0,0,0,0,1.27,2.3
1192,1.4081,0,0,0,0,1.272,2.3
1193,1.408,0,0,0,0,1.275,2.3
1194,1.4079,0,0,0,0,1.277,2.3
1195,1.4078,0,0,0,0,1.28,2.3
1196,1.4077,0,0,0,0,1.282,2.3
1197,1.4076,0,0,0,0,1.283,2.3
1198,1.4075,0,0,0,0,1.283,2.3
1199,1.4074,0,0,0,0,1.279,2.3
1200,1.4073,0,0,0,0,1.272,2.3
1201,1.4072,0,0,0,0,1.266,2.3
1202,1.4071,0,0,0,0,1.267,2.301
1203,1.407,0,0,0,0,1.271,2.301
1204,1.4069,0,0,0,0,1.273,2.302
1205,1.4068,0,0,0,0,1.271,2.303
1206,1.4067,0,0,0,0,1.265,2.305
1207,1.4066,0,0,0,0,1.26,2.306
1208,1.4065,0,0,0,0,1.258,2.308
1209,1.4064,0,0,0,0,1.258,2.31
1210,1.4063,0,0,0,0,1.257,2.312
1211,1.4062,0,0,0,0,1.252,2.315
1212,1.4061,0,0,0,0,1.247,2.317
1213,1.406,0,0,0,0,1.243,2.32
1214,1.4059,0,0,0,0,1.243,2.323
1215,1.4058,0,0,0,0,1.243,2.327
1216,1.4057,0,0,0,0,1.24,2.33
1217,1.4056,0,0,0,0,1.233,2.334
1218,1.4054,0,0,0,0,1.224,2.338
1219,1.4053,0,0,0,0,1.216,2.342
1220,1.4052,0,0,0,0,1.214,2.346
1221,1.4051,0,0,0,0,1.214,2.35
1222,1.405,0,0,0,0,1.213,2.354
1223,1.4049,0,0,0,0,1.21,2.359
1224,1.4048,0,0,0,0,1.205,2.364
1225,1.4047,0,0,0,0,1.2,2.369
1226,1.4046,0,0,0,0,1.199,2.374
1227,1.4045,0,0,0,0,1.198,2.379
1228,1.4044,0,0,0,0,1.197,2.384
1229,1.4043,0,0,0,0,1.194,2.389
1230,1.4042,0,0,0,0,1.189,2.395
1231,1.4041,0,0,0,0,1.184,2.4
1232,1.404,0,0,0,0,1.18,2.406
1233,1.4038,0,0,0,0,1.176,2.412
1234,1.4037,0,0,0,0,1.171,2.418
1235,1.4036,0,0,0,0,1.166,2.423
1236,1.4035,0,0,0,0,1.161,2.43
1237,1.4034,0,0,0,0,1.158,2.436
1238,1.4033,0,0,0,0,1.157,2.442
1239,1.4032,0,0,0,0,1.157,2.448
1240,1.4031,0,0,0,0,1.155,2.454
1241,1.403,0,0,0,0,1.152,2.461
1242,1.4029,0,0,0,0,1.148,2.467
1243,1.4028,0,0,0,0,1.142,2.473
1244,1.4027,0,0,0,0,1.138,2.48
1245,1.4026,0,0,0,0,1.133,2.486
1246,1.4025,0,0,0,0,1.13,2.493
1247,1.4024,0,0,0,0,1.126,2.499
1248,1.4023,0,0,0,0,1.123,2.506
1249,1.4022,0,0,0,0,1.12,2.512
1250,1.4021,0,0,0,0,1.116,2.519
1251,1.402,0,0,0,0,1.111,2.525
1252,1.4019,0,0,0,0,1.107,2.532
1253,1.4017,0,0,0,0,1.103,2.538
1254,1.4016,0,0,0,0,1.101,2.545
1255,1.4015,0,0,0,0,1.101,2.551
1256,1.4014,0,0,0,0,1.101,2.558
1257,1.4013,0,0,0,0,1.101,2.564
1258,1.4012,0,0,0,0,1.1,2.57
1259,1.4011,0,0,0,0,1.098,2.577
1260,1.401,0,0,0,0,1.094,2.583
1261,1.4009,0,0,0,0,1.089,2.589
1262,1.4008,0,0,0,0,1.085,2.595
1263,1.4007,0,0,0,0,1.084,2.601
1264,1.4006,0,0,0,0,1.083,2.607
1265,1.4005,0,0,0,0,1.083,2.613
1266,1.4004,0,0,0,0,1.082,2.619
1267,1.4003,0,0,0,0,1.081,2.625
1268,1.4001,0,0,0,0,1.08,2.631
1269,1.4,0,0,0,0,1.079,2.636
1270,1.3999,0,0,0,0,1.08,2.642
1271,1.3998,0,0,0,0,1.083,2.647
1272,1.3997,0,0,0,0,1.087,2.652
1273,1.3996,0,0,0,0,1.093,2.657
1274,1.3995,0,0,0,0,1.099,2.662
1275,1.3994,0,0,0,0,1.104,2.667
1276,1.3993,0,0,0,0,1.107,2.672
1277,1.3992,0,0,0,0,1.109,2.677
1278,1.3991,0,0,0,0,1.111,2.681
1279,1.399,0,0,0,0,1.115,2.685
1280,1.3989,0,0,0,0,1.121,2.689
1281,1.3988,0,0,0,0,1.129,2.693
1282,1.3987,0,0,0,0,1.137,2.697
1283,1.3985,0,0,0,0,1.147,2.701
1284,1.3984,0,0,0,0,1.156,2.704
1285,1.3983,0,0,0,0,1.164,2.707
1286,1.3982,0,0,0,0,1.17,2.711
1287,1.3981,0,0,0,0,1.175,2.713
1288,1.398,0,0,0,0,1.181,2.716
1289,1.3979,0,0,0,0,1.188,2.719
1290,1.3978,0,0,0,0,1.196,2.721
1291,1.3977,0,0,0,0,1.206,2.723
1292,1.3976,0,0,0,0,1.216,2.725
1293,1.3975,0,0,0,0,1.227,2.726
1294,1.3974,0,0,0,0,1.239,2.728
1295,1.3973,0,0,0,0,1.252,2.729
1296,1.3972,0,0,0,0,1.267,2.73
1297,1.3971,0,0,0,0,1.283,2.73
1298,1.397,0,0,0,0,1.297,2.731
1299,1.3969,0,0,0,0,1.31,2.731
1300,1.3968,0,0,0,0,1.323,2.721
1301,1.3967,0,0,0,0,1.336,2.736
1302,1.3966,0,0,0,0,1.351,2.728
1303,1.3965,0,0,0,0,1.37,2.719
1304,1.3964,0,0,0,0,1.392,2.712
1305,1.3963,0,0,0,0,1.416,2.698
1306,1.3962,0,0,0,0,1.44,2.702
1307,1.3961,0,0,0,0,1.465,2.691
1308,1.396,0,0,0,0,1.489,2.688
1309,1.3959,0,0,0,0,1.511,2.686
1310,1.3958,0,0,0,0,1.532,2.682
1311,1.3957,0,0,0,0,1.555,2.676
1312,1.3956,0,0,0,0,1.58,2.675
1313,1.3955,0,0,0,0,1.61,2.677
1314,1.3954,0,0,0,0,1.642,2.67
1315,1.3953,0,0,0,0,1.672,2.671
1316,1.3952,0,0,0,0,1.701,2.668
1317,1.3951,0,0,0,0,1.728,2.67
1318,1.3949,0,0,0,0,1.758,2.674
1319,1.3948,0,0,0,0,1.791,2.674
1320,1.3947,0,0,0,0,1.831,2.683
1321,1.3946,0,0,0,0,1.872,2.674
1322,1.3945,0,0,0,0,1.911,2.675
1323,1.3944,0,0,0,0,1.943,2.682
1324,1.3943,0,0,0,0,1.974,2.683
1325,1.3942,0,0,0,0,2.007,2.665
1326,1.3941,0,0,0,0,2.047,2.661
1327,1.394,0,0,0,0,2.098,2.668
1328,1.3939,0,0,0,0,2.153,2.67
1329,1.3938,0,0,0,0,2.203,2.674
1330,1.3937,0,0,0,0,2.243,2.664
1331,1.3936,0,0,0,0,2.277,2.661
1332,1.3935,0,0,0,0,2.312,2.665
1333,1.3934,0,0,0,0,2.357,2.668
1334,1.3933,0,0,0,0,2.415,2.681
1335,1.3932,0,0,0,0,2.479,2.686
1336,1.3931,0,0,0,0,2.54,2.684
1337,1.393,0,0,0,0,2.59,2.697
1338,1.3929,0,0,0,0,2.631,2.712
1339,1.3928,0,0,0,0,2.666,2.72
1340,1.3927,0,0,0,0,2.701,2.717
1341,1.3926,0,0,0,0,2.738,2.726
1342,1.3925,0,0,0,0,2.78,2.744
1343,1.3924,0,0,0,0,2.829,2.743
1344,1.3923,0,0,0,0,2.889,2.751
1345,1.3922,0,0,0,0,2.96,2.763
1346,1.3921,0,0,0,0,3.033,2.778
1347,1.392,0,0,0,0,3.097,2.793
1348,1.3919,0,0,0,0,3.146,2.818
1349,1.3918,0,0,0,0,3.181,2.835
1350,1.3917,0,0,0,0,3.226,2.865
1351,1.3916,0,0,0,0,3.267,2.879
1352,1.3915,0,0,0,0,3.319,2.899
1353,1.3914,0,0,0,0,3.363,2.918
1354,1.3913,0,0,0,0,3.412,2.936
1355,1.3912,0,0,0,0,3.449,2.953
1356,1.3911,0,0,0,0,3.504,2.966
1357,1.391,0,0,0,0,3.544,2.977
1358,1.3909,0,0,0,0,3.6,2.981
1359,1.3908,0,0,0,0,3.648,2.942
1360,1.3907,0,0,0,0,3.701,2.887
1361,1.3906,0,0,0,0,3.752,2.864
1362,1.3905,0,0,0,0,3.802,2.877
1363,1.3904,0,0,0,0,3.871,2.886
1364,1.3903,0,0,0,0,3.927,2.888
1365,1.3902,0,0,0,0,3.985,2.891
1366,1.3901,0,0,0,0,4.064,2.899
1367,1.39,0,0,0,0,4.125,2.887
1368,1.3899,0,0,0,0,4.216,2.884
1369,1.3898,0,0,0,0,4.302,2.9
1370,1.3897,0,0,0,0,4.389,2.929
1371,1.3896,0,0,0,0,4.504,2.969
1372,1.3895,0,0,0,0,4.63,3.014
1373,1.3893,0,0,0,0,4.737,3.053
1374,1.3892,0,0,0,0,4.904,3.075
1375,1.3891,0,0,0,0,5.092,3.111
1376,1.389,0,0,0,0,5.26,3.128
1377,1.3889,0,0,0,0,5.479,3.13
1378,1.3888,0,0,0,0,5.72,3.103
1379,1.3887,0,0,0,0,6.006,3.051
1380,1.3886,0,0,0,0,6.242,2.979
1381,1.3885,0,0,0,0,6.58,2.941
1382,1.3884,0,0,0,0,6.927,2.92
1383,1.3883,0,0,0,0,7.313,2.931
1384,1.3882,0,0,0,0,7.633,2.95
1385,1.3881,0,0,0,0,8.089,2.978
1386,1.388,0,0,0,0,8.545,3.025
1387,1.3879,0,0,0,0,9.03,3.048
1388,1.3877,0,0,0,0,9.591,3.066
1389,1.3876,0,0,0,0,10.02,3.087
1390,1.3875,0,0,0,0,10.63,3.099
1391,1.3874,0,0,0,0,11.22,3.09
1392,1.3873,0,0,0,0,11.84,3.088
1393,1.3872,0,0,0,0,12.45,3.081
1394,1.3871,0,0,0,0,13.16,3.085
1395,1.387,0,0,0,0,13.69,3.071
1396,1.3869,0,0,0,0,14.34,3.065
1397,1.3868,0,0,0,0,15.09,3.069
1398,1.3867,0,0,0,0,15.78,3.067
1399,1.3866,0,0,0,0,16.46,3.085
1400,1.3865,0,0,0,0,17.14,3.094
1401,1.3864,0,0,0,0,17.81,3.11
1402,1.3863,0,0,0,0,18.54,3.136
1403,1.3861,0,0,0,0,19.19,3.149
1404,1.386,0,0,0,0,19.8,3.158
1405,1.3859,0,0,0,0,20.29,3.191
1406,1.3858,0,0,0,0,20.89,3.23
1407,1.3857,0,0,0,0,21.46,3.265
1408,1.3855,0,0,0,0,22.02,3.298
1409,1.3854,0,0,0,0,22.6,3.356
1410,1.3853,0,0,0,0,23.13,3.419
1411,1.3852,0,0,0,0,23.6,3.476
1412,1.3851,0,0,0,0,24.07,3.534
1413,1.3849,0,0,0,0,24.5,3.584
1414,1.3848,0,0,0,0,24.93,3.632
1415,1.3847,0,0,0,0,25.33,3.708
1416,1.3846,0,0,0,0,25.71,3.775
1417,1.3845,0,0,0,0,26.06,3.847
1418,1.3843,0,0,0,0,26.41,3.931
1419,1.3842,0,0,0,0,26.73,3.987
1420,1.3841,0,0,0,0,27.01,4.071
1421,1.384,0,0,0,0,27.29,4.156
1422,1.3839,0,0,0,0,27.56,4.242
1423,1.3837,0,0,0,0,27.82,4.32
1424,1.3836,0,0,0,0,28.06,4.395
1425,1.3835,0,0,0,0,28.35,4.48
1426,1.3834,0,0,0,0,28.56,4.561
1427,1.3833,0,0,0,0,28.75,4.638
1428,1.3831,0,0,0,0,28.92,4.708
1429,1.383,0,0,0,0,29.08,4.782
1430,1.3829,0,0,0,0,29.26,4.846
1431,1.3828,0,0,0,0,29.4,4.906
1432,1.3826,0,0,0,0,29.56,4.974
1433,1.3825,0,0,0,0,29.66,5.026
1434,1.3823,0,0,0,0,29.82,5.071
1435,1.3822,0,0,0,0,29.93,5.131
1436,1.3821,0,0,0,0,30.03,5.179
1437,1.382,0,0,0,0,30.14,5.22
1438,1.3818,0,0,0,0,30.23,5.271
1439,1.3817,0,0,0,0,30.29,5.322
1440,1.3816,0,0,0,0,30.36,5.358
1441,1.3815,0,0,0,0,30.42,5.403
1442,1.3813,0,0,0,0,30.46,5.441
1443,1.3812,0,0,0,0,30.49,5.46
1444,1.381,0,0,0,0,30.52,5.481
1445,1.3809,0,0,0,0,30.53,5.5
1446,1.3808,0,0,0,0,30.55,5.523
1447,1.3807,0,0,0,0,30.56,5.548
1448,1.3805,0,0,0,0,30.56,5.56
1449,1.3804,0,0,0,0,30.55,5.575
1450,1.3803,0,0,0,0,30.54,5.582
1451,1.3802,0,0,0,0,30.51,5.597
1452,1.38,0,0,0,0,30.49,5.611
1453,1.3799,0,0,0,0,30.45,5.639
1454,1.3797,0,0,0,0,30.41,5.653
1455,1.3796,0,0,0,0,30.35,5.675
1456,1.3794,0,0,0,0,30.29,5.682
1457,1.3793,0,0,0,0,30.23,5.685
1458,1.3791,0,0,0,0,30.14,5.68
1459,1.379,0,0,0,0,30.06,5.689
1460,1.3788,0,0,0,0,29.98,5.711
1461,1.3787,0,0,0,0,29.83,5.723
1462,1.3785,0,0,0,0,29.71,5.715
1463,1.3784,0,0,0,0,29.57,5.716
1464,1.3782,0,0,0,0,29.36,5.732
1465,1.3781,0,0,0,0,29.17,5.741
1466,1.3779,0,0,0,0,28.99,5.743
1467,1.3778,0,0,0,0,28.72,5.752
1468,1.3776,0,0,0,0,28.51,5.745
1469,1.3775,0,0,0,0,28.29,5.744
1470,1.3773,0,0,0,0,28,5.757
1471,1.3772,0,0,0,0,27.77,5.766
1472,1.377,0,0,0,0,27.54,5.78
1473,1.3769,0,0,0,0,27.22,5.787
1474,1.3767,0,0,0,0,26.99,5.798
1475,1.3766,0,0,0,0,26.64,5.81
1476,1.3764,0,0,0,0,26.38,5.808
1477,1.3763,0,0,0,0,26.11,5.815
1478,1.3761,0,0,0,0,25.81,5.825
1479,1.376,0,0,0,0,25.55,5.824
1480,1.3758,0,0,0,0,25.22,5.827
1481,1.3756,0,0,0,0,24.97,5.854
1482,1.3755,0,0,0,0,24.68,5.878
1483,1.3753,0,0,0,0,24.43,5.9
1484,1.3752,0,0,0,0,24.13,5.908
1485,1.375,0,0,0,0,23.88,5.922
1486,1.3748,0,0,0,0,23.64,5.94
1487,1.3747,0,0,0,0,23.32,5.962
1488,1.3745,0,0,0,0,23.07,5.963
1489,1.3744,0,0,0,0,22.74,5.966
1490,1.3742,0,0,0,0,22.5,5.982
1491,1.374,0,0,0,0,22.18,5.99
1492,1.3739,0,0,0,0,21.93,5.994
1493,1.3737,0,0,0,0,21.63,6.016
1494,1.3736,0,0,0,0,21.39,6.014
1495,1.3734,0,0,0,0,21.07,6.025
1496,1.3732,0,0,0,0,20.82,6.008
1497,1.3731,0,0,0,0,20.52,6.022
1498,1.3729,0,0,0,0,20.25,6.021
1499,1.3728,0,0,0,0,20.01,6.027
1500,1.3726,0,0,0,0,19.72,6.027
1501,1.3724,0,0,0,0,19.51,6.035
1502,1.3723,0,0,0,0,19.24,6.025
1503,1.3721,0,0,0,0,19,6.009
1504,1.372,0,0,0,0,18.74,5.989
1505,1.3718,0,0,0,0,18.47,5.987
1506,1.3716,0,0,0,0,18.27,5.984
1507,1.3715,0,0,0,0,18.02,5.971
1508,1.3713,0,0,0,0,17.84,5.971
1509,1.3712,0,0,0,0,17.58,5.973
1510,1.371,0,0,0,0,17.34,5.951
1511,1.3708,0,0,0,0,17.12,5.952
1512,1.3706,0,0,0,0,16.88,5.939
1513,1.3705,0,0,0,0,16.71,5.933
1514,1.3703,0,0,0,0,16.47,5.931
1515,1.3701,0,0,0,0,16.23,5.925
1516,1.3699,0,0,0,0,16.06,5.909
1517,1.3698,0,0,0,0,15.83,5.897
1518,1.3696,0,0,0,0,15.62,5.884
1519,1.3695,0,0,0,0,15.45,5.881
1520,1.3693,0,0,0,0,15.25,5.876
1521,1.3692,0,0,0,0,15.04,5.856
1522,1.369,0,0,0,0,14.89,5.843
1523,1.3689,0,0,0,0,14.68,5.83
1524,1.3687,0,0,0,0,14.47,5.818
1525,1.3686,0,0,0,0,14.32,5.807
1526,1.3684,0,0,0,0,14.13,5.799
1527,1.3683,0,0,0,0,13.95,5.792
